"Date","Price","Open","High","Low","Vol.","Change %"
"21-12-2014","27,241.78","27,479.87","27,851.10","27,091.38","33.17M","-0.48%"
"14-12-2014","27,371.84","27,136.28","27,497.12","26,469.42","63.01M","0.08%"
"07-12-2014","27,350.68","28,433.00","28,494.85","27,320.05","49.64M","-3.89%"
"30-11-2014","28,458.10","28,748.22","28,809.64","28,370.73","47.77M","-0.82%"
"23-11-2014","28,693.99","28,413.01","28,822.37","28,217.50","55.84M","1.27%"
"16-11-2014","28,334.63","28,018.68","28,360.66","27,915.23","39.67M","1.03%"
"09-11-2014","28,046.66","27,919.45","28,126.48","27,764.75","40.63M","0.64%"
"02-11-2014","27,868.63","27,943.04","28,010.39","27,739.56","28.64M","0.01%"
"26-10-2014","27,865.83","26,959.57","27,894.32","26,726.84","40.06M","3.78%"
"19-10-2014","26,851.05","26,434.16","26,930.23","26,368.94","25.46M","2.84%"
"12-10-2014","26,108.53","26,275.07","26,550.79","25,910.77","38.41M","-0.72%"
"05-10-2014","26,297.38","26,487.51","26,688.70","26,150.09","35.57M","-1.02%"
"28-09-2014","26,567.99","26,694.41","26,851.33","26,481.31","22.62M","-0.22%"
"21-09-2014","26,626.32","27,008.12","27,256.87","26,220.49","48.32M","-1.71%"
"14-09-2014","27,090.42","26,998.07","27,247.17","26,464.03","37.32M","0.11%"
"07-09-2014","27,061.04","27,145.12","27,354.99","26,904.50","36.49M","0.13%"
"31-08-2014","27,026.70","26,733.18","27,225.85","26,732.39","41.33M","1.46%"
"24-08-2014","26,638.11","26,490.31","26,674.38","26,314.89","32.80M","0.83%"
"17-08-2014","26,419.55","26,123.69","26,530.67","26,075.28","40.76M","1.21%"
"10-08-2014","26,103.23","25,476.87","26,135.00","25,437.05","33.06M","3.06%"
"03-08-2014","25,329.14","25,631.68","25,928.32","25,232.82","37.59M","-0.60%"
"27-07-2014","25,480.84","26,173.47","26,181.83","25,459.13","38.51M","-2.47%"
"20-07-2014","26,126.75","25,776.54","26,300.17","25,677.71","43.12M","1.89%"
"13-07-2014","25,641.56","25,093.16","25,713.40","24,892.00","59.34M","2.47%"
"06-07-2014","25,024.35","26,039.67","26,190.44","24,978.33","67.64M","-3.61%"
"29-06-2014","25,962.06","25,179.55","25,999.08","25,179.55","45.65M","3.43%"
"22-06-2014","25,099.92","25,108.09","25,427.80","24,878.66","47.96M","-0.02%"
